type,AF,AL,DZ,AD,AO,AI,AG,AR,AM,AW,AU,AT,AZ,BS,BH,BD,BB,BY,BE,BZ,BJ,BM,BT,BO,BQ,BA,BW,BR,IO,BN,BG,BF,MM,BI,KH,CM,CV,KY,CF,TD,CL,CN,CO,KM,CG,CR,CI,HR,CU,CY,CZ,CD,DK,DJ,DM,DO,EC,EG,SV,GQ,ER,EE,ET,FJ,FI,FR,GA,GM,GE,DE,GH,GR,GD,GT,GN,GW,GY,HT,VA,HN,HK,HU,IS,IN,ID,IR,IQ,IE,IL,IT,JM,JP,JO,KZ,KE,KI,XK,KW,KG,LA,LV,LB,LS,LR,LY,LI,LT,LU,MO,MK,MG,MW,MY,MV,ML,MT,MH,MQ,MR,MU,MX,FM,MD,MC,MN,ME,MA,MZ,NA,NR,NP,NL,NC,NZ,NI,NE,NG,KP,NO,OM,PK,PS,WB,PA,PG,PY,PE,PH,PL,PT,PR,QA,RO,RU,RW,LC,WS,SM,ST,SA,SN,RS,SC,SL,SG,SK,SI,SB,SO,ZA,KR,SS,ES,LK,KN,VC,SD,SR,SZ,SE,CH,SY,PF,TW,TJ,TZ,TH,TL,TG,TO,TT,TN,TR,TM,TC,TV,UG,UA,AE,GB,US,UY,VI,UZ,VU,VE,VN,YE,ZM,ZW,lastupdated
visitor-outside-canada,74 days,29 days,37 days,No processing time available,156 days,51 days,73 days,38 days,37 days,51 days,18 days,31 days,167 days,51 days,45 days,38 days,35 days,69 days,36 days,51 days,351 days,51 days,51 days,25 days,No processing time available,71 days,83 days,51 days,No processing time available,51 days,51 days,48 days,30 days,37 days,23 days,44 days,51 days,51 days,51 days,51 days,38 days,137 days,30 days,No processing time available,49 days,37 days,71 days,51 days,48 days,43 days,18 days,53 days,554 days,51 days,51 days,39 days,40 days,88 days,41 days,51 days,51 days,51 days,610 days,45 days,317 days,34 days,74 days,61 days,190 days,27 days,190 days,27 days,24 days,40 days,56 days,51 days,24 days,42 days,51 days,40 days,161 days,60 days,51 days,47 days,71 days,43 days,42 days,439 days,55 days,28 days,31 days,18 days,41 days,32 days,60 days,No processing time available,22 days,44 days,47 days,51 days,51 days,232 days,51 days,835 days,68 days,No processing time available,51 days,51 days,51 days,28 days,124 days,51 days,37 days,51 days,62 days,51 days,51 days,51 days,33 days,117 days,34 days,51 days,60 days,51 days,175 days,51 days,76 days,51 days,51 days,No processing time available,67 days,447 days,No processing time available,27 days,60 days,51 days,76 days,No processing time available,417 days,46 days,36 days,45 days,45 days,38 days,51 days,51 days,26 days,30 days,28 days,28 days,No processing time available,51 days,51 days,30 days,37 days,27 days,No processing time available,No processing time available,No processing time available,83 days,60 days,23 days,51 days,51 days,33 days,51 days,51 days,No processing time available,51 days,62 days,20 days,51 days,45 days,94 days,51 days,22 days,68 days,51 days,51 days,422 days,34 days,87 days,51 days,107 days,47 days,204 days,24 days,No processing time available,330 days,No processing time available,25 days,174 days,77 days,No processing time available,51 days,No processing time available,632 days,8 days,111 days,362 days,86 days,30 days,51 days,36 days,No processing time available,38 days,19 days,51 days,410 days,77 days,"January 4, 2022"
supervisa,162 days,162 days,162 days,No processing time available,No processing time available,No processing time available,No processing time available,162 days,162 days,No processing time available,162 days,162 days,162 days,No processing time available,162 days,59 days,No processing time available,162 days,No processing time available,162 days,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,162 days,No processing time available,No processing time available,No processing time available,162 days,No processing time available,162 days,162 days,75 days,No processing time available,No processing time available,No processing time available,162 days,162 days,332 days,162 days,No processing time available,162 days,162 days,162 days,No processing time available,162 days,No processing time available,162 days,162 days,No processing time available,162 days,No processing time available,162 days,162 days,162 days,162 days,No processing time available,162 days,No processing time available,162 days,162 days,No processing time available,162 days,162 days,No processing time available,No processing time available,162 days,162 days,No processing time available,162 days,162 days,No processing time available,No processing time available,162 days,162 days,No processing time available,162 days,155 days,162 days,No processing time available,54 days,162 days,456 days,162 days,No processing time available,No processing time available,162 days,162 days,162 days,162 days,162 days,162 days,No processing time available,162 days,162 days,162 days,No processing time available,No processing time available,162 days,No processing time available,No processing time available,162 days,No processing time available,No processing time available,No processing time available,No processing time available,162 days,162 days,No processing time available,162 days,No processing time available,162 days,No processing time available,No processing time available,No processing time available,No processing time available,162 days,162 days,No processing time available,162 days,No processing time available,162 days,162 days,162 days,No processing time available,162 days,No processing time available,268 days,No processing time available,No processing time available,162 days,No processing time available,No processing time available,552 days,No processing time available,No processing time available,162 days,399 days,162 days,162 days,162 days,No processing time available,No processing time available,162 days,266 days,No processing time available,162 days,No processing time available,162 days,162 days,162 days,162 days,162 days,No processing time available,No processing time available,No processing time available,162 days,162 days,162 days,No processing time available,No processing time available,162 days,No processing time available,No processing time available,No processing time available,No processing time available,162 days,No processing time available,No processing time available,162 days,196 days,No processing time available,162 days,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,162 days,No processing time available,No processing time available,162 days,162 days,162 days,No processing time available,162 days,No processing time available,162 days,162 days,162 days,No processing time available,No processing time available,No processing time available,162 days,55 days,162 days,162 days,162 days,No processing time available,No processing time available,162 days,No processing time available,162 days,201 days,No processing time available,162 days,162 days,"January 4, 2022"
study,11 weeks,3 weeks,18 weeks,No processing time available,11 weeks,No processing time available,11 weeks,16 weeks,11 weeks,11 weeks,5 weeks,2 weeks,12 weeks,5 weeks,7 weeks,10 weeks,5 weeks,11 weeks,6 weeks,11 weeks,22 weeks,11 weeks,9 weeks,13 weeks,No processing time available,11 weeks,11 weeks,11 weeks,No processing time available,11 weeks,11 weeks,8 weeks,6 weeks,21 weeks,11 weeks,9 weeks,11 weeks,11 weeks,11 weeks,10 weeks,11 weeks,6 weeks,8 weeks,11 weeks,7 weeks,15 weeks,8 weeks,No processing time available,12 weeks,11 weeks,11 weeks,8 weeks,8 weeks,11 weeks,11 weeks,16 weeks,10 weeks,10 weeks,19 weeks,11 weeks,11 weeks,11 weeks,19 weeks,11 weeks,11 weeks,7 weeks,12 weeks,8 weeks,11 weeks,1 week,10 weeks,11 weeks,11 weeks,16 weeks,8 weeks,11 weeks,11 weeks,14 weeks,No processing time available,17 weeks,12 weeks,11 weeks,11 weeks,11 weeks,5 weeks,7 weeks,6 weeks,8 weeks,22 weeks,2 weeks,8 weeks,1 week,5 weeks,8 weeks,22 weeks,No processing time available,11 weeks,7 weeks,11 weeks,11 weeks,11 weeks,11 weeks,11 weeks,11 weeks,11 weeks,No processing time available,11 weeks,11 weeks,11 weeks,11 weeks,14 weeks,11 weeks,10 weeks,No processing time available,8 weeks,11 weeks,11 weeks,11 weeks,11 weeks,9 weeks,5 weeks,No processing time available,11 weeks,11 weeks,6 weeks,11 weeks,9 weeks,11 weeks,11 weeks,No processing time available,18 weeks,8 weeks,11 weeks,12 weeks,11 weeks,17 weeks,24 weeks,No processing time available,7 weeks,8 weeks,10 weeks,5 weeks,5 weeks,22 weeks,11 weeks,11 weeks,13 weeks,9 weeks,11 weeks,11 weeks,11 weeks,8 weeks,11 weeks,7 weeks,18 weeks,11 weeks,No processing time available,11 weeks,No processing time available,11 weeks,8 weeks,11 weeks,No processing time available,11 weeks,10 weeks,11 weeks,11 weeks,No processing time available,11 weeks,15 weeks,1 week,No processing time available,6 weeks,14 weeks,11 weeks,11 weeks,11 weeks,11 weeks,11 weeks,10 weeks,5 weeks,11 weeks,11 weeks,8 weeks,11 weeks,14 weeks,5 weeks,11 weeks,22 weeks,No processing time available,11 weeks,9 weeks,8 weeks,11 weeks,11 weeks,No processing time available,25 weeks,7 weeks,7 weeks,10 weeks,10 weeks,11 weeks,No processing time available,7 weeks,No processing time available,14 weeks,10 weeks,11 weeks,9 weeks,10 weeks,"January 4, 2022"
work,11 weeks,9 weeks,12 weeks,No processing time available,11 weeks,No processing time available,11 weeks,16 weeks,11 weeks,11 weeks,7 weeks,11 weeks,11 weeks,11 weeks,11 weeks,12 weeks,11 weeks,11 weeks,7 weeks,11 weeks,11 weeks,11 weeks,9 weeks,11 weeks,No processing time available,11 weeks,11 weeks,27 weeks,No processing time available,11 weeks,11 weeks,11 weeks,11 weeks,No processing time available,11 weeks,12 weeks,No processing time available,11 weeks,No processing time available,11 weeks,14 weeks,13 weeks,11 weeks,11 weeks,No processing time available,19 weeks,5 weeks,11 weeks,13 weeks,11 weeks,11 weeks,11 weeks,11 weeks,11 weeks,11 weeks,20 weeks,11 weeks,29 weeks,16 weeks,No processing time available,No processing time available,11 weeks,11 weeks,11 weeks,11 weeks,7 weeks,11 weeks,No processing time available,11 weeks,11 weeks,11 weeks,11 weeks,No processing time available,2 weeks,11 weeks,No processing time available,11 weeks,22 weeks,No processing time available,14 weeks,12 weeks,11 weeks,11 weeks,31 weeks,10 weeks,16 weeks,13 weeks,11 weeks,23 weeks,7 weeks,14 weeks,8 weeks,15 weeks,11 weeks,40 weeks,No processing time available,11 weeks,11 weeks,11 weeks,No processing time available,11 weeks,25 weeks,11 weeks,11 weeks,11 weeks,No processing time available,No processing time available,11 weeks,11 weeks,11 weeks,16 weeks,No processing time available,10 weeks,No processing time available,11 weeks,11 weeks,No processing time available,11 weeks,No processing time available,6 weeks,4 weeks,No processing time available,11 weeks,No processing time available,11 weeks,11 weeks,13 weeks,11 weeks,11 weeks,No processing time available,36 weeks,11 weeks,11 weeks,7 weeks,17 weeks,11 weeks,87 weeks,No processing time available,11 weeks,11 weeks,14 weeks,11 weeks,11 weeks,11 weeks,11 weeks,11 weeks,14 weeks,12 weeks,10 weeks,10 weeks,No processing time available,15 weeks,11 weeks,10 weeks,11 weeks,11 weeks,No processing time available,No processing time available,No processing time available,18 weeks,10 weeks,11 weeks,11 weeks,No processing time available,13 weeks,11 weeks,11 weeks,No processing time available,No processing time available,16 weeks,9 weeks,11 weeks,9 weeks,14 weeks,No processing time available,11 weeks,11 weeks,11 weeks,No processing time available,15 weeks,6 weeks,11 weeks,11 weeks,7 weeks,11 weeks,11 weeks,6 weeks,No processing time available,11 weeks,No processing time available,7 weeks,13 weeks,13 weeks,No processing time available,No processing time available,No processing time available,11 weeks,11 weeks,52 weeks,12 weeks,7 weeks,11 weeks,No processing time available,11 weeks,No processing time available,11 weeks,12 weeks,No processing time available,11 weeks,11 weeks,"January 4, 2022"
child_dependent,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,25 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,20 months,23 months,No processing time available,No processing time available,No processing time available,25 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,21 months,No processing time available,No processing time available,20 months,No processing time available,No processing time available,No processing time available,22 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,18 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,31 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,19 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,19 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,24 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,23 months,No processing time available,No processing time available,No processing time available,20 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,15 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,18 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,22 months,No processing time available,No processing time available,No processing time available,18 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,15 months,No processing time available,No processing time available,No processing time available,"January 4, 2022"
child_adopted,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,38 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,37 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,28 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,"January 4, 2022"
refugees_gov,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,37 months,No processing time available,No processing time available,No processing time available,No processing time available,40 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,32 months,No processing time available,30 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,27 months,No processing time available,31 months,No processing time available,1 month,No processing time available,No processing time available,No processing time available,No processing time available,29 months,No processing time available,No processing time available,24 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,24 months,25 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,18 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,15 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,32 months,30 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,24 months,No processing time available,No processing time available,No processing time available,35 months,No processing time available,No processing time available,No processing time available,3 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,"January 4, 2022"
refugees_private,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,34 months,No processing time available,No processing time available,No processing time available,No processing time available,35 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,40 months,33 months,No processing time available,No processing time available,No processing time available,35 months,No processing time available,No processing time available,No processing time available,26 months,No processing time available,31 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,46 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,37 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,38 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,23 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,30 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,30 months,No processing time available,36 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,25 months,No processing time available,No processing time available,No processing time available,35 months,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,No processing time available,"January 4, 2022"
